z_A	RHOB_DFT_e_A3	RHOB_py_refphi_e_A3	RHOION_DFT_e_A3	RHOION_py_refphi_e_A3
1.503906250000e+01	-3.138337619610e-04	-3.138337561898e-04	4.907531025562e-21	-6.578272502945e-33
1.513020833333e+01	-3.564514559316e-04	-3.564514566674e-04	-7.310732738793e-21	-1.237585379233e-32
1.522135416667e+01	-3.943631769050e-04	-3.943631712312e-04	2.724798526140e-20	-2.434657647549e-32
1.531250000000e+01	-4.192952833166e-04	-4.192952846724e-04	4.039256243232e-20	-5.015210961990e-32
1.540364583333e+01	-4.508212204643e-04	-4.508212147830e-04	8.215837810005e-20	-1.083191687551e-31
1.549479166667e+01	-5.181841461215e-04	-5.181841482984e-04	2.966971779236e-20	-2.456212648004e-31
1.558593750000e+01	-6.420258141822e-04	-6.420258101152e-04	4.864761458570e-20	-5.854236643370e-31
1.567708333333e+01	-8.158308445487e-04	-8.158308493958e-04	2.264450209015e-20	-1.468606331700e-30
1.576822916667e+01	-9.902644051930e-04	-9.902644013830e-04	2.050420517997e-20	-3.883532955124e-30
1.585937500000e+01	-1.099288416768e-03	-1.099288417534e-03	2.341216288250e-20	-1.083865567345e-29
1.595052083333e+01	-1.140219108257e-03	-1.140219096051e-03	1.940542932267e-20	-3.197837103309e-29
1.604166666667e+01	-1.209073849628e-03	-1.209073843668e-03	1.812767649444e-20	-9.983573500146e-29
1.613281250000e+01	-1.394114019545e-03	-1.394114006199e-03	6.161610281332e-20	-3.304790173873e-28
1.622395833333e+01	-1.672262018769e-03	-1.672262018463e-03	1.439868036166e-20	-1.160324503094e-27
1.631510416667e+01	-1.982716589805e-03	-1.982716585296e-03	2.545858453472e-20	-4.328966222884e-27
1.640625000000e+01	-2.314890066338e-03	-2.314890075547e-03	4.993224360476e-20	-1.716413388378e-26
1.649739583333e+01	-2.649177544902e-03	-2.649177545591e-03	5.543894858145e-20	-7.241449302086e-26
1.658854166667e+01	-2.920862244535e-03	-2.920862251066e-03	4.699790149739e-20	-3.249098202871e-25
1.667968750000e+01	-3.109265752396e-03	-3.109265740631e-03	8.324666346766e-20	-1.551178499163e-24
1.677083333333e+01	-3.277340810543e-03	-3.277340801182e-03	1.182062984930e-20	-7.872817530771e-24
1.686197916667e+01	-3.466128693218e-03	-3.466128670633e-03	1.563420495063e-21	-4.246372651000e-23
1.695312500000e+01	-3.607585096487e-03	-3.607585089039e-03	3.034476215668e-20	-2.428202619898e-22
1.704427083333e+01	-3.595774348926e-03	-3.595774338663e-03	3.709842202196e-20	-1.470636940915e-21
1.713541666667e+01	-3.400227418000e-03	-3.400227425074e-03	3.083642697982e-20	-9.397950443220e-21
1.722656250000e+01	-3.068234750565e-03	-3.068234747294e-03	9.198340443574e-21	-6.316776607429e-20
1.731770833333e+01	-2.662939098230e-03	-2.662939104908e-03	-4.356714956498e-19	-4.436577036003e-19
1.740885416667e+01	-2.222519480192e-03	-2.222519473493e-03	-3.205340226471e-18	-3.237420716991e-18
1.750000000000e+01	-1.751312711083e-03	-1.751312716700e-03	-2.425635740457e-17	-2.428752331826e-17
1.759114583333e+01	-1.258772092362e-03	-1.258772086930e-03	-1.855544388947e-16	-1.855860542669e-16
1.768229166667e+01	-8.118908075310e-04	-8.118908165317e-04	-1.423489268168e-15	-1.423483509936e-15
1.777343750000e+01	-5.023419353052e-04	-5.023419325391e-04	-1.082720107463e-14	-1.082725204638e-14
1.786458333333e+01	-3.355510657551e-04	-3.355510761166e-04	-8.026874428427e-14	-8.026873259128e-14
1.795572916667e+01	-2.176616291104e-04	-2.176616254694e-04	-5.726871319868e-13	-5.726871508610e-13
1.804687500000e+01	-8.194271083436e-05	-8.194272027202e-05	-3.863686995597e-12	-3.863687145679e-12
1.813802083333e+01	4.297263662842e-05	4.297264181201e-05	-2.438356468337e-11	-2.438356542974e-11
1.822916666667e+01	9.885022212058e-05	9.885021412445e-05	-1.415940878961e-10	-1.415940918611e-10
1.832031250000e+01	7.153423669088e-05	7.153424399977e-05	-7.504686643162e-10	-7.504686825207e-10
1.841145833333e+01	-9.701475945886e-07	-9.701548696431e-07	-3.576670661419e-09	-3.576670733398e-09
1.850260416667e+01	-5.848630644448e-05	-5.848629936641e-05	-1.524935720731e-08	-1.524935745066e-08
1.859375000000e+01	-6.090582483510e-05	-6.090583293939e-05	-5.744357309617e-08	-5.744357378161e-08
