z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	phisol_DBG_eV	phi_final_DBG_eV
1.248697916667e+01	1.819450006474e+03	1.819450006474e+03	8.857130449582e-01	8.857092585925e-01	1.820335719519e+03	1.820335715732e+03	-8.374680383336e-01	-7.511777669555e-01	-3.062397020606e+00
1.257812500000e+01	1.795497589772e+03	1.795497589772e+03	7.861254484233e-01	7.861307046752e-01	1.796283715220e+03	1.796283720476e+03	-7.605671811719e-01	-6.758235332248e-01	-3.021137960444e+00
1.266927083333e+01	1.734443462604e+03	1.734443462604e+03	6.317487471344e-01	6.317427247867e-01	1.735075211351e+03	1.735075205329e+03	-6.373350037541e-01	-5.541497044533e-01	-2.933776238403e+00
1.276041666667e+01	1.660663709463e+03	1.660663709463e+03	4.872339134538e-01	4.872324846925e-01	1.661150943377e+03	1.661150941948e+03	-4.789486686120e-01	-3.973208468339e-01	-2.811487279662e+00
1.285156250000e+01	1.599573081380e+03	1.599573081380e+03	4.016838292497e-01	4.016698698868e-01	1.599974765209e+03	1.599974751250e+03	-3.295684847083e-01	-2.495103795674e-01	-2.698453140068e+00
1.294270833333e+01	1.567430716694e+03	1.567430716694e+03	3.921151136706e-01	3.921100955909e-01	1.567822831808e+03	1.567822826790e+03	-2.327603718994e-01	-1.542656382414e-01	-2.638225271044e+00
1.303385416667e+01	1.565726110421e+03	1.565726110421e+03	4.439762614101e-01	4.439667412007e-01	1.566170086682e+03	1.566170077162e+03	-2.039660085533e-01	-1.270398599140e-01	-2.646254995384e+00
1.312500000000e+01	1.583995376027e+03	1.583995376027e+03	5.218264495354e-01	5.218320257050e-01	1.584517202476e+03	1.584517208052e+03	-2.272690324197e-01	-1.519063249855e-01	-2.706607698273e+00
1.321614583333e+01	1.608022117296e+03	1.608022117296e+03	5.871350119470e-01	5.871360267618e-01	1.608609252308e+03	1.608609253323e+03	-2.580544128986e-01	-1.842685088989e-01	-2.774674338262e+00
1.330729166667e+01	1.628281035882e+03	1.628281035882e+03	6.087438033248e-01	6.087538408239e-01	1.628889779685e+03	1.628889789723e+03	-2.591817556417e-01	-1.869670682693e-01	-2.813280120524e+00
1.339843750000e+01	1.643324844226e+03	1.643324844226e+03	5.722362554443e-01	5.722329054597e-01	1.643897080481e+03	1.643897077131e+03	-2.628757188170e-01	-1.922457451188e-01	-2.854651867546e+00
1.348958333333e+01	1.659469657023e+03	1.659469657023e+03	4.967361321448e-01	4.967350928010e-01	1.659966393155e+03	1.659966392116e+03	-2.978508262064e-01	-2.288011774095e-01	-2.927469145471e+00
1.358072916667e+01	1.686033660517e+03	1.686033660517e+03	4.326639920813e-01	4.326494105573e-01	1.686466324509e+03	1.686466309927e+03	-3.544283396282e-01	-2.869644074588e-01	-3.022046913821e+00
1.367187500000e+01	1.727680700730e+03	1.727680700730e+03	4.339917797966e-01	4.339861327885e-01	1.728114692510e+03	1.728114686863e+03	-3.982046840967e-01	-3.323149745020e-01	-3.103950262975e+00
1.376302083333e+01	1.779892352530e+03	1.779892352530e+03	5.214515444267e-01	5.214416135470e-01	1.780413804075e+03	1.780413794144e+03	-4.117154662652e-01	-3.474033459387e-01	-3.155716875475e+00
1.385416666667e+01	1.831846379136e+03	1.831846379136e+03	6.653262741460e-01	6.653317930561e-01	1.832511705410e+03	1.832511710928e+03	-3.906451882967e-01	-3.279010765061e-01	-3.173006893680e+00
1.394531250000e+01	1.872331102015e+03	1.872331102015e+03	7.980449515838e-01	7.980467979903e-01	1.873129146967e+03	1.873129148813e+03	-3.682454071821e-01	-3.070751859280e-01	-3.189076957614e+00
