# units: z_A in Angstrom; densities in e/A^3; diff = reproduction - DFT
z_A	RHOB_DFT_e_per_A3	RHOB_repro_e_per_A3	RHOB_diff_e_per_A3	RHOION_DFT_e_per_A3	RHOION_repro_e_per_A3	RHOION_diff_e_per_A3
8.476562500000	2.9133978142950433e-10	2.9133977270018109e-10	-8.7293232378509597e-18	-6.2421278880489902e-21	-2.9607394112270780e-20	-2.3365266224221791e-20
8.567708333333	1.0466803375518783e-09	1.0466801564841301e-09	-1.8106774828399167e-16	-4.2549046270936876e-20	-6.3469430995120668e-20	-2.0920384724183792e-20
8.658854166667	8.5553805578844913e-09	8.5553790706778200e-09	-1.4872066712688179e-15	5.7586679801827218e-21	-1.3115999616615101e-20	-1.8874667596797822e-20
8.750000000000	4.5927982042910272e-08	4.5927972218876355e-08	-9.8240339178014215e-15	-9.2959281401612193e-21	-2.5055337609310634e-20	-1.5759409469149417e-20
8.841145833333	2.0049763311895494e-07	2.0049758406404194e-07	-4.9054913006080334e-14	-1.9892948600878134e-20	-3.2445494604633000e-20	-1.2552546003754866e-20
8.932291666667	6.9147996180534602e-07	6.9147977906016643e-07	-1.8274517958961672e-13	-4.9341251752796173e-20	-5.6345865838985472e-20	-7.0046140861892991e-21
9.023437500000	1.9045356347384577e-06	1.9045351475651337e-06	-4.8717332408347634e-13	1.2861880449913973e-20	8.6573556659298363e-21	-4.2045247839841364e-21
9.114583333333	4.1992844014816401e-06	4.1992835622856848e-06	-8.3919595532784769e-13	-1.3040650403715736e-20	-1.3619203355601248e-20	-5.7855295188551201e-22
9.205729166667	7.4537166349726076e-06	7.4537160377864616e-06	-5.9718614602022324e-13	-2.3043528063431876e-20	-2.1953010041690955e-20	1.0905180217409212e-21
9.296875000000	1.0705697107647864e-05	1.0705698062992689e-05	9.5534482560076517e-13	-4.2428385340563480e-21	7.5465280357318735e-22	4.9974913376295356e-21
9.388020833333	1.2498874129921197e-05	1.2498876714887511e-05	2.5849663138770339e-12	8.5758488147775643e-21	1.7589865526583998e-20	9.0140167118064341e-21
9.479166666667	1.1807750670844259e-05	1.1807750605752199e-05	-6.5092059482263834e-14	6.0635646012885449e-21	1.6122316820262704e-20	1.0058752218974159e-20
9.570312500000	8.6285573775162333e-06	8.6285475357544504e-06	-9.8417617829096643e-12	-1.7883528651846514e-20	-7.2386590734331032e-21	1.0644869578413410e-20
9.661458333333	3.7193872878473299e-06	3.7193668771262375e-06	-2.0410721092410531e-11	3.2571924625839259e-20	4.4369169446247944e-20	1.1797244820408685e-20
9.752604166667	-1.8180408706585838e-06	-1.8180597909587039e-06	-1.8920300120101109e-11	-2.8887327700462028e-20	-1.4766320214441256e-20	1.4121007486020772e-20
9.843750000000	-6.6369285236878824e-06	-6.6369302052989020e-06	-1.6816110195611868e-12	-1.1951537519578223e-20	3.0180189261849451e-21	1.4969556445763168e-20
9.934895833333	-9.4966093506514904e-06	-9.4965914995623685e-06	1.7851089121904344e-11	-4.3928055619461770e-20	-2.7423420991542329e-20	1.6504634627919442e-20
10.026041666667	-1.0077279412291808e-05	-1.0077256096087872e-05	2.3316203936186411e-11	-3.4977263260100566e-20	-1.7634382007686693e-20	1.7342881252413873e-20
10.117187500000	-9.1554963629377612e-06	-9.1554827193808975e-06	1.3643556863644313e-11	-6.9615906702478810e-20	-4.8420032730357248e-20	2.1195873972121562e-20
10.208333333333	-7.7428277033214329e-06	-7.7428265931594489e-06	1.1101619840428456e-12	-3.2624336492880026e-20	-9.8450775023731188e-21	2.2779258990506909e-20
10.299479166667	-6.2793637161503954e-06	-6.2793682345782772e-06	-4.5184278817415532e-12	-5.7727466459492252e-20	-3.1059960481890483e-20	2.6667505977601770e-20
