z_A	RHOB_DFT_e_A3	RHOB_step05_e_A3	RHOB_step05_minus_DFT_e_A3	RHOION_DFT_e_A3	RHOION_step05_e_A3	RHOION_step05_minus_DFT_e_A3
1.540364583333e+01	-4.508212204643e-04	-4.508121600613e-04	9.0604e-09	8.215837810005e-20	3.689829112455e-20	-4.52601e-20
1.549479166667e+01	-5.181841461215e-04	-5.181697792944e-04	1.43668e-08	2.966971779236e-20	-1.933798715493e-20	-4.90077e-20
1.558593750000e+01	-6.420258141822e-04	-6.420023563385e-04	2.34578e-08	4.864761458570e-20	-1.795748770326e-21	-5.04434e-20
1.567708333333e+01	-8.158308445487e-04	-8.157951863411e-04	3.56582e-08	2.264450209015e-20	-3.053515384761e-20	-5.31797e-20
1.576822916667e+01	-9.902644051930e-04	-9.902185922710e-04	4.58129e-08	2.050420517997e-20	-3.519346259373e-20	-5.56977e-20
1.585937500000e+01	-1.099288416768e-03	-1.099241272418e-03	4.71444e-08	2.341216288250e-20	-3.309804908026e-20	-5.65102e-20
1.595052083333e+01	-1.140219108257e-03	-1.140180023630e-03	3.90846e-08	1.940542932267e-20	-3.711404159519e-20	-5.65195e-20
1.604166666667e+01	-1.209073849628e-03	-1.209043181018e-03	3.06686e-08	1.812767649444e-20	-3.871150853816e-20	-5.68392e-20
1.613281250000e+01	-1.394114019545e-03	-1.394082879299e-03	3.11402e-08	6.161610281332e-20	4.676765351144e-21	-5.69393e-20
1.622395833333e+01	-1.672262018769e-03	-1.672223674517e-03	3.83443e-08	1.439868036166e-20	-4.251688705764e-20	-5.69156e-20
1.631510416667e+01	-1.982716589805e-03	-1.982674815862e-03	4.17739e-08	2.545858453472e-20	-2.868415094852e-20	-5.41427e-20
1.640625000000e+01	-2.314890066338e-03	-2.314853454538e-03	3.66118e-08	4.993224360476e-20	-6.011390525658e-21	-5.59436e-20
1.649739583333e+01	-2.649177544902e-03	-2.649148524186e-03	2.90207e-08	5.543894858145e-20	1.302276949009e-21	-5.41367e-20
1.658854166667e+01	-2.920862244535e-03	-2.920835875225e-03	2.63693e-08	4.699790149739e-20	-6.661188195027e-21	-5.36591e-20
1.667968750000e+01	-3.109265752396e-03	-3.109237472308e-03	2.82801e-08	8.324666346766e-20	3.145159126919e-20	-5.17951e-20
1.677083333333e+01	-3.277340810543e-03	-3.277311298174e-03	2.95124e-08	1.182062984930e-20	-3.868125597137e-20	-5.05019e-20
1.686197916667e+01	-3.466128693218e-03	-3.466102464423e-03	2.62288e-08	1.563420495063e-21	-4.614022611737e-20	-4.77036e-20
1.695312500000e+01	-3.607585096487e-03	-3.607566906829e-03	1.81897e-08	3.034476215668e-20	-1.533107197168e-20	-4.56758e-20
1.704427083333e+01	-3.595774348926e-03	-3.595765220923e-03	9.128e-09	3.709842202196e-20	-5.912976122429e-21	-4.30114e-20
1.713541666667e+01	-3.400227418000e-03	-3.400222600992e-03	4.81701e-09	3.083642697982e-20	-1.006014021745e-20	-4.08966e-20
1.722656250000e+01	-3.068234750565e-03	-3.068227724904e-03	7.02566e-09	9.198340443574e-21	-2.939467702599e-20	-3.8593e-20
1.731770833333e+01	-2.662939098230e-03	-2.662929087140e-03	1.00111e-08	-4.356714956498e-19	-4.712147807505e-19	-3.55433e-20
